id,user_id,lesson_id,attemps,points,created,querytext
244,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12441,3,2,2020-10-12 14:46:53.250722,necesito ayuda planificacion tareas
245,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12220,4,2,2020-10-12 14:47:13.199588,necesito ayuda planificacion tareas
246,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12209,5,3,2020-10-12 14:47:22.559717,necesito ayuda planificacion tareas
247,240b4819-87b9-4da8-958c-8fd369fe4d7e,12202,1,2,2020-10-13 03:18:51.026975,deployment
248,f9e19129-6008-429c-9f60-11512d503880,12440,1,1,2020-10-28 13:24:38.815539,ayuda
249,f9e19129-6008-429c-9f60-11512d503880,12440,1,1,2020-11-03 16:13:35.312699,ayuda
258,96fe3f92-bbc5-4791-a5f3-724c1ed4c503,12631,1,4,,aprender react
251,66c5177f-ff44-458f-a253-fed864fd16a4,12630,1,4,2020-11-18 21:37:29.766838,docker
252,02b6f62f-fedf-47f4-806b-5cff7f5de52f,12661,1,5,2020-11-18 21:37:29.766838,docker
253,f774a1e6-5922-4791-bb23-9f9b61014f66,12629,1,5,2020-11-18 21:37:29.766838,aprender docker
254,b0fb7ff4-978d-4a1e-91a1-04bb4b25d80a,11630,8,4,2020-11-18 21:37:29.766838,react
255,66c5177f-ff44-458f-a253-fed864fd16a4,12321,1,4,2020-11-18 21:37:29.766838,sesiones de trabajo
256,66c5177f-ff44-458f-a253-fed864fd16a4,12366,1,3,2020-11-18 21:37:29.766838,eficiencia
257,9f48596e-9e28-4291-b502-adcf950265fb,12631,6,3,2020-11-18 21:37:29.766838,react
250,66c5177f-ff44-458f-a253-fed864fd16a4,12630,1,4,2020-11-18 21:37:29.766838,docker
262,66c5177f-ff44-458f-a253-fed864fd16a4,12389,1,4,2020-11-19 02:16:32.399847,docker
263,66c5177f-ff44-458f-a253-fed864fd16a4,12389,1,3,2020-11-19 02:16:40.647792,docker
259,bde0b528-6a61-4183-b38f-10d748a93150,11581,6,3,2020-11-19 02:21:19.548055,aprender react
260,66c5177f-ff44-458f-a253-fed864fd16a4,11722,1,5,2020-11-19 02:21:22.279045,react
261,66c5177f-ff44-458f-a253-fed864fd16a4,11722,1,4,2020-11-19 02:21:24.332556,react
264,cc7baf7c-839b-41ea-b791-a416a3b0ee92,12631,1,3,2020-11-19 02:36:27.271305,aprender react
265,e87b05c9-be0c-4451-99a1-f9771fcb1703,12643,1,5,2020-11-19 02:45:39.882098,Cuales son las buenas practicas en git
266,cc7baf7c-839b-41ea-b791-a416a3b0ee92,11356,1,4,2020-11-19 13:30:13.565165,historias de usuario
267,cc7baf7c-839b-41ea-b791-a416a3b0ee92,11262,1,3,2020-11-19 13:33:29.581976,git
269,cc7baf7c-839b-41ea-b791-a416a3b0ee92,11239,3,3,2020-11-19 13:35:07.616566,git
270,cc7baf7c-839b-41ea-b791-a416a3b0ee92,11633,1,3,2020-11-19 13:51:20.007347,beanstalk
276,e87b05c9-be0c-4451-99a1-f9771fcb1703,11398,2,4,2020-11-19 19:41:01.609175,¿Cuales serian unas buenas practicas de Git que me recomiendas?
278,cc7baf7c-839b-41ea-b791-a416a3b0ee92,12595,1,3,2020-11-19 19:47:04.888196,react
279,cc7baf7c-839b-41ea-b791-a416a3b0ee92,11722,2,3,2020-11-19 19:47:18.466897,react
268,cc7baf7c-839b-41ea-b791-a416a3b0ee92,11622,2,4,2020-11-19 13:34:00.093062,git
272,cc7baf7c-839b-41ea-b791-a416a3b0ee92,12269,2,3,2020-11-19 13:53:20.853027,tips sobre github
273,cc7baf7c-839b-41ea-b791-a416a3b0ee92,12339,3,3,2020-11-19 13:53:32.127185,tips sobre github
277,e87b05c9-be0c-4451-99a1-f9771fcb1703,12692,3,3,2020-11-19 19:41:16.538727,¿Cuales serian unas buenas practicas de Git que me recomiendas?
271,cc7baf7c-839b-41ea-b791-a416a3b0ee92,12692,1,3,2020-11-19 13:53:07.786430,tips sobre github
274,e87b05c9-be0c-4451-99a1-f9771fcb1703,12643,1,5,2020-11-19 19:40:32.246855,¿Cuales serian unas buenas practicas de Git que me recomiendas?
275,e87b05c9-be0c-4451-99a1-f9771fcb1703,12643,1,5,2020-11-19 19:40:44.824275,¿Cuales serian unas buenas practicas de Git que me recomiendas?
280,cc7baf7c-839b-41ea-b791-a416a3b0ee92,12095,3,3,2020-11-19 19:47:27.346301,react
281,e87b05c9-be0c-4451-99a1-f9771fcb1703,12643,1,5,2020-11-23 20:52:10.089700,Cuales son las buenas practicas de Git?
282,cc7baf7c-839b-41ea-b791-a416a3b0ee92,11934,1,3,2020-11-24 01:02:31.132415,elastic beanstalk
283,cc7baf7c-839b-41ea-b791-a416a3b0ee92,12269,1,3,2020-11-25 12:50:32.269305,github
284,66c5177f-ff44-458f-a253-fed864fd16a4,11886,1,3,2020-11-25 12:59:46.806218,quiero aprender react
285,66c5177f-ff44-458f-a253-fed864fd16a4,11543,2,3,2020-11-25 13:00:25.445442,quiero aprender react
